Time,Flow_ID,Status,Attack,Confidence (%)
2026-07-29 23:55:58.901741,1,NORMAL,BENIGN,94.0
2026-07-29 23:55:58.901741,2,NORMAL,BENIGN,88.0
2026-07-29 23:55:58.901741,3,NORMAL,BENIGN,89.0
2026-07-29 23:55:58.901741,4,NORMAL,BENIGN,86.0
2026-07-29 23:55:58.901741,5,NORMAL,BENIGN,88.0
2026-07-29 23:55:58.901741,6,NORMAL,BENIGN,88.0
2026-07-29 23:55:58.901741,7,NORMAL,BENIGN,89.0
2026-07-29 23:55:58.901741,8,NORMAL,BENIGN,88.0
2026-07-30 00:38:33.770083,1,NORMAL,BENIGN,76.0
2026-07-30 00:38:33.770083,2,NORMAL,BENIGN,81.0
2026-07-30 00:38:33.770083,3,NORMAL,BENIGN,76.0
2026-07-30 00:38:33.770083,4,NORMAL,BENIGN,81.0
2026-07-30 00:38:33.770083,5,NORMAL,BENIGN,76.0
2026-07-30 00:38:33.770083,6,NORMAL,BENIGN,88.0
2026-07-30 01:47:04.940792,1,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.940792,2,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.940792,3,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.941792,4,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.941792,5,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.941792,6,NORMAL,BENIGN,84.0
2026-07-30 01:47:04.941792,7,NORMAL,BENIGN,93.0
2026-07-30 01:47:04.941792,8,NORMAL,BENIGN,89.0
2026-07-30 01:47:04.941792,9,NORMAL,BENIGN,91.0
2026-07-30 01:47:04.941792,10,NORMAL,BENIGN,88.0
2026-07-30 01:47:04.941792,11,NORMAL,BENIGN,94.0
2026-07-30 01:47:04.941792,12,NORMAL,BENIGN,88.0
2026-07-30 01:47:04.941792,13,NORMAL,BENIGN,81.0
2026-07-30 01:47:04.941792,14,NORMAL,BENIGN,93.0
2026-07-30 12:56:20.654300,1,NORMAL,BENIGN,73.0
2026-07-30 12:56:20.655295,2,NORMAL,BENIGN,88.0
2026-07-30 12:56:20.655295,3,NORMAL,BENIGN,91.0
2026-07-30 12:56:20.655295,4,NORMAL,BENIGN,88.0
2026-07-30 12:56:20.655295,5,NORMAL,BENIGN,85.0
2026-07-30 12:56:20.655295,6,NORMAL,BENIGN,86.0
2026-07-30 12:56:20.655295,7,NORMAL,BENIGN,79.0
2026-07-30 12:56:20.655295,8,NORMAL,BENIGN,79.0
2026-07-30 13:10:16.280358,1,NORMAL,BENIGN,69.0
2026-07-30 13:10:16.280358,2,NORMAL,BENIGN,86.0
2026-07-30 13:46:19.796256,1,NORMAL,BENIGN,90.0
2026-07-30 13:46:19.796256,2,NORMAL,BENIGN,90.0
2026-07-30 13:48:28.990577,1,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,2,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,3,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,4,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,5,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,6,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,7,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,8,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,9,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,10,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,11,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,12,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,13,NORMAL,BENIGN,88.0
2026-07-30 13:48:28.990577,14,NORMAL,BENIGN,73.0
2026-07-30 13:48:28.990577,15,NORMAL,BENIGN,80.0
2026-07-30 13:48:28.990577,16,NORMAL,BENIGN,75.0
2026-07-30 17:03:57.859420,1,NORMAL,BENIGN,88.0
2026-07-30 17:03:57.859420,2,NORMAL,BENIGN,89.0
2026-07-30 17:03:57.859420,3,NORMAL,BENIGN,83.0
2026-07-30 17:03:57.859420,4,NORMAL,BENIGN,83.0
2026-07-30 17:03:57.859420,5,NORMAL,BENIGN,83.0
2026-07-30 17:03:57.859420,6,NORMAL,BENIGN,83.0
2026-07-30 17:03:57.860415,7,NORMAL,BENIGN,84.0
2026-07-30 17:03:57.860415,8,NORMAL,BENIGN,80.0
2026-07-30 17:03:57.860415,9,NORMAL,BENIGN,80.0
